date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:43:17	50853/50853	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Apr%202023%2018:38:07%20GMT	https://www.devsnews.com/template/govtpress/govtpress/index.html	C:/aaaaaaa/b3/www.devsnews.com/template/govtpress/govtpress/index.html	(from )
22:43:17	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Aug%202024%2019:43:16%20GMT	https://www.devsnews.com/robots.txt		(from )
22:43:17	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Aug%202024%2019:43:17%20GMT	https://www.devsnews.com/template/govtpress/govtpress/site.webmanifest	C:/aaaaaaa/b3/www.devsnews.com/template/govtpress/govtpress/site.webmanifest	(from https://www.devsnews.com/template/govtpress/govtpress/index.html)
22:43:18	2497/2497	---MCZ	200	added ('OK')	image/x-icon	etag:W/%229c1-6442d80f-82773410bba1b352;br%22	https://www.devsnews.com/template/govtpress/govtpress/assets/img/favicon.ico	C:/aaaaaaa/b3/www.devsnews.com/template/govtpress/govtpress/assets/img/favicon.ico	(from https://www.devsnews.com/template/govtpress/govtpress/index.html)
22:43:18	140936/140936	---MCZ	200	added ('OK')	text/css	etag:W/%2222688-6442d80f-fb433b66ac26bb4a;br%22	https://www.devsnews.com/template/govtpress/govtpress/assets/css/bootstrap.min.css	C:/aaaaaaa/b3/www.devsnews.com/template/govtpress/govtpress/assets/css/bootstrap.min.css	(from https://www.devsnews.com/template/govtpress/govtpress/index.html)
22:43:18	2936/2936	---MCZ	200	added ('OK')	text/css	etag:W/%22b78-6442d80f-26ee1c8f0fbab9f8;br%22	https://www.devsnews.com/template/govtpress/govtpress/assets/css/owl.carousel.min.css	C:/aaaaaaa/b3/www.devsnews.com/template/govtpress/govtpress/assets/css/owl.carousel.min.css	(from https://www.devsnews.com/template/govtpress/govtpress/index.html)
22:43:18	79167/79167	---MCZ	200	added ('OK')	text/css	etag:W/%221353f-6442d80f-c0738fdf1dee67f7;br%22	https://www.devsnews.com/template/govtpress/govtpress/assets/css/animate.css	C:/aaaaaaa/b3/www.devsnews.com/template/govtpress/govtpress/assets/css/animate.css	(from https://www.devsnews.com/template/govtpress/govtpress/index.html)
22:43:18	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%221b27-6442d80f-7cf2ec1b8a30f42e;br%22	https://www.devsnews.com/template/govtpress/govtpress/assets/css/magnific-popup.css	C:/aaaaaaa/b3/www.devsnews.com/template/govtpress/govtpress/assets/css/magnific-popup.css	(from https://www.devsnews.com/template/govtpress/govtpress/index.html)
22:43:19	170990/170990	---MCZ	200	added ('OK')	text/css	etag:W/%2229bee-6442d80f-61f04646760aed6b;br%22	https://www.devsnews.com/template/govtpress/govtpress/assets/css/all.min.css	C:/aaaaaaa/b3/www.devsnews.com/template/govtpress/govtpress/assets/css/all.min.css	(from https://www.devsnews.com/template/govtpress/govtpress/index.html)
22:43:19	2419/2419	---MCZ	200	added ('OK')	text/css	etag:W/%22973-6442d80f-3f7bd4414f2e56b0;br%22	https://www.devsnews.com/template/govtpress/govtpress/assets/css/flaticon.css	C:/aaaaaaa/b3/www.devsnews.com/template/govtpress/govtpress/assets/css/flaticon.css	(from https://www.devsnews.com/template/govtpress/govtpress/index.html)
